HOUSEHOLD_ID,J01_WORRIED,J02_NOT_EATEN_HEALTHY,J03_ATE_FEW_FOOD,J04_SKIPPED_MEAL,J05_ATE_LESS,J06_RAN_OUT_OF_FOOD,J07_HUNGRY,J08_NOT_EATEN_WHOLE_DAY,J09_NOT_EATEN_WHOLE_DAY_PAST_3_MONTHS,K03_C_SAVING_FOR_EMERGENCIES,K03_D_SAVING_FOR_BUSINESS,K03_Q_FOR_RECEIVING_PENSION,K03_T_FOR_BUSINESS_OPERATIONS,K04_PRESENCE_OF_SAVINGS,K06_A_EARN_JUST_ENOUGH,K06_B_NO_STABLE_SOURCE_OF_INCOME,K06_C_USED_FOR_EMERGENCY,K07_LOANS,K09_A_LOAN_FOR_BUSINESS,K09_D_LOAN_FOR_MEDICAL_NEEDS,K09_E_LOAN_FOR_DAILY_NEEDS,K09_H_LOAN_FOR_PAYMENT_FOR_ANOTHER_LOAN,K10_C_HEALTH_INSURANCE,K10_G_MICROINSURANCE,K10_H_CROP_INSURANCE,K10_I_LIVESTOCK_AND_POULTRY_INSURANCE,K10_J_FISHERIES_INSURANCE,L06_WITH_MEMBER_CURRENTLY_PREGNANT,L08_WITH_MEMBER_CURRENTLY_BREASTFEEDING,L10_WITH_CHILD_DIED,L15_WITH_PWD_MEMBER,L19_WITH_CANCER_PATIENT_MEMBER,L23_WITH_RARE_DISEASE_MEMBER,L29_WITH_MEMBER_WHO_HAS_PWD_ID,L33_MEMBER_WHO_HAS_BEEN_SICK,O01_SAFE_WALKING_ALONE,O02_VICTIM_OF_CRIME,SECTION_O_LINE_NUMBER,O03_A_THEFT_VICTIM,O03_B_ROBBERY_VICTIM,O03_C_ASSAULT_VICTIM,O03_D_PSYCHO_VIOLENCE_VICTIM,O03_E_SEX_VIOLENCE_VICTIM,O03_F_FRAUD_VICTIM,O03_G_BRIBERY_VICTIM,O03_I_VEHICLE_THEFT_VICTIM,O03_J_BURGLARY_VICTIM,O03_K_VANDALISM_VICTIM,O03_Z_OTHER_CRIME_VICTIM,O04_A_THEFT_VICTIM,O04_B_ROBBERY_VICTIM,O04_C_ASSAULT_VICTIM,O04_D_PSYCHO_VIOLENCE_VICTIM,O04_E_SEX_VIOLENCE_VICTIM,O04_F_FRAUD_VICTIM,O04_G_BRIBERY_VICTIM,O04_I_VEHICLE_THEFT_VICTIM,O04_J_BURGLARY_VICTIM,O04_K_VANDALISM_VICTIM,O04_Z_OTHER_CRIME_VICTIM,O05_A_THEFT_VICTIM_FREQUENCY,O05_B_ROBBERY_VICTIM_FREQUENCY,O05_C_ASSAULT_VICTIM_FREQUENCY,O05_D_PSYCHO_VIOLENCE_VICTIM_FREQUENCY,O05_E_SEX_VIOLENCE_VICTIM_FREQUENCY,O05_F_FRAUD_VICTIM_FREQUENCY,O05_G_BRIBERY_VICTIM_FREQUENCY,O05_I_VEHICLE_THEFT_VICTIM_FREQUENCY,O05_J_BURGLARY_VICTIM_FREQUENCY,O05_K_VANDALISM_VICTIM_FREQUENCY,O05_Z_OTHER_CRIME_VICTIM_FREQUENCY,O06_A_THEFT_LOCATION_OF_CRIME,O06_B_ROBBERY_LOCATION_OF_CRIME,O06_C_ASSAULT_LOCATION_OF_CRIME,O06_D_PSYCHO_VIOLENCE_LOCATION_OF_CRIME,O06_E_SEX_VIOLENCE_LOCATION_OF_CRIME,O06_F_FRAUD_LOCATION_OF_CRIME,O06_G_BRIBERY_LOCATION_OF_CRIME,O06_I_VEHICLE_THEFT_LOCATION_OF_CRIME,O06_J_BURGLARY_LOCATION_OF_CRIME,O06_K_VANDALISM_LOCATION_OF_CRIME,O06_Z_OTHER_CRIME_LOCATION_OF_CRIME
HH000016,1,1,1,1,1,2,2,2,,1,2,2,2,2,1,2,2,2,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000017,1,1,1,1,1,1,1,2,,,,,,1,,,,2,,,,,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000018,2,2,2,2,2,2,2,2,,,,,,1,,,,2,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000019,2,2,2,2,2,2,2,2,,,,,,1,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000020,2,2,2,2,2,2,2,2,,1,1,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000021,2,2,2,2,2,2,2,2,,2,2,1,2,1,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000022,1,1,1,1,1,1,1,1,2,,,,,2,2,1,2,2,,,,,1,2,2,2,2,2,2,2,1,2,2,2,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000023,2,2,2,2,2,2,2,2,,,,,,2,1,1,2,2,,,,,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000024,1,1,1,2,2,2,2,2,,,,,,1,,,,2,,,,,1,1,2,2,2,2,2,2,1,2,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000025,2,2,2,2,2,2,2,2,,2,2,2,1,1,,,,2,,,,,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,01,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,01,,,,,,,,,,,1,,,,,,,,,,,2
HH000026,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000027,2,2,2,2,2,2,2,2,,2,2,2,2,1,,,,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000028,2,2,2,2,2,2,2,2,,,,,,2,1,2,2,2,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000029,1,1,1,1,2,2,2,2,,2,2,1,1,1,,,,2,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000030,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000031,1,1,1,1,1,1,2,2,,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000032,1,1,1,1,2,2,2,2,,1,2,2,1,1,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000033,1,1,1,1,1,2,2,2,,1,2,2,1,1,,,,2,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000034,1,1,2,2,2,2,2,2,,,,,,2,2,2,2,2,,,,,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000035,1,2,2,2,2,2,2,2,,,,,,1,,,,2,,,,,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000036,1,1,1,1,1,2,2,2,,2,1,2,1,1,,,,2,,,,,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000037,1,1,1,1,1,1,1,2,,2,1,2,2,1,,,,2,,,,,1,2,2,2,2,2,2,2,1,2,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000038,2,2,2,2,2,2,2,2,,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000039,2,2,2,2,2,2,2,2,,2,2,2,1,2,2,1,2,2,,,,,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000040,1,1,1,2,2,2,2,2,,,,,,1,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,02,1,2,2,2,2,1,2,2,2,2,2,03,,,,,03,,,,,,1,,,,,1,,,,,,1,,,,,1,,,,,
HH000041,1,1,1,1,1,1,2,2,,2,2,1,1,1,,,,2,,,,,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000042,1,1,1,1,1,2,2,2,,,,,,2,1,2,2,2,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000043,1,2,2,2,2,2,2,2,,2,2,1,1,1,,,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000044,2,2,2,2,2,2,2,2,,1,2,2,1,1,,,,2,,,,,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000045,1,1,1,2,2,2,2,2,,1,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000046,1,2,2,2,2,2,2,2,,2,2,2,1,1,,,,2,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000047,1,1,1,1,1,1,1,1,1,2,2,2,2,1,,,,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000048,1,1,1,1,1,2,2,2,,,,,,2,1,2,1,2,,,,,1,2,2,2,2,2,2,2,1,2,2,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000049,2,2,2,2,2,2,2,2,,,,,,2,1,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,02,2,2,2,2,2,1,2,2,2,2,2,,,,,,03,,,,,,,,,,,1,,,,,,,,,,,2,,,,,
HH000050,2,2,2,2,2,2,2,2,,2,2,2,1,1,,,,2,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,3,1,03,2,2,2,2,2,1,2,2,2,2,2,,,,,,03,,,,,,,,,,,1,,,,,,,,,,,3,,,,,
HH000051,1,1,1,1,1,1,1,1,1,,,,,2,1,2,1,2,,,,,2,1,2,2,2,2,2,2,1,2,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000052,2,2,2,2,2,2,2,2,,2,2,2,2,1,,,,2,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000053,1,1,1,1,1,2,2,2,,,,,,1,,,,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000054,1,1,1,1,1,1,2,2,,,,,,2,1,1,2,2,,,,,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000055,1,1,1,2,2,2,2,2,,,,,,1,,,,2,,,,,1,1,2,2,2,2,1,2,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000056,1,1,1,1,1,1,1,1,1,,,,,1,,,,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000057,2,2,2,2,2,2,2,2,,2,2,2,2,2,1,1,2,2,,,,,1,1,2,2,2,2,1,2,2,2,2,2,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000058,1,1,1,2,2,2,2,2,,1,2,2,1,1,,,,2,,,,,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000059,2,2,2,2,2,2,2,2,,1,2,2,2,1,,,,2,,,,,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1,02,2,2,2,2,2,2,2,1,2,2,2,,,,,,,,02,,,,,,,,,,,1,,,,,,,,,,,1,,,
HH000060,1,2,2,2,2,2,2,2,,1,2,2,2,1,,,,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000061,1,1,1,1,1,2,2,2,,2,2,2,2,2,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000062,2,2,2,2,2,2,2,2,,,,,,2,1,1,2,2,,,,,1,1,2,2,2,2,1,2,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000063,2,2,2,2,2,2,2,2,,,,,,2,1,2,1,2,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000064,2,2,2,2,2,2,2,2,,1,2,1,2,1,,,,2,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000065,1,2,2,2,2,2,2,2,,,,,,1,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000066,1,1,1,2,2,2,2,2,,,,,,2,2,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000067,1,1,2,2,2,2,2,2,,2,2,2,1,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000068,2,2,2,2,2,2,2,2,,,,,,1,,,,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000069,1,2,2,2,2,2,2,2,,2,2,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000070,1,1,1,1,1,1,2,2,,1,2,1,2,2,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000071,2,2,2,2,2,2,2,2,,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000072,2,2,2,2,2,2,2,2,,1,2,2,2,1,,,,2,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000073,1,1,2,2,2,2,2,2,,2,2,2,1,1,,,,2,,,,,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000074,2,2,2,2,2,2,2,2,,1,2,2,2,1,,,,2,,,,,2,2,2,2,2,2,2,2,1,2,2,1,2,4,1,02,2,2,2,2,2,2,2,2,1,2,2,,,,,,,,,02,,,,,,,,,,,1,,,,,,,,,,,1,,
HH000075,1,1,1,2,2,2,2,2,,,,,,1,,,,2,,,,,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,03,2,2,2,2,2,2,2,2,1,2,2,,,,,,,,,03,,,,,,,,,,,1,,,,,,,,,,,1,,
HH000076,1,1,1,1,1,1,1,1,1,,,,,1,,,,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000077,1,1,1,1,1,1,1,1,2,,,,,1,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000078,2,2,2,2,2,2,2,2,,,,,,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000079,1,1,1,1,1,2,2,2,,2,2,2,1,2,1,2,1,2,,,,,1,2,2,2,2,2,2,2,1,2,2,1,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000080,1,1,1,1,1,2,2,2,,2,2,2,1,2,2,2,2,2,,,,,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000081,1,2,2,2,2,2,2,2,,,,,,1,,,,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000082,1,1,1,1,1,1,2,2,,2,2,2,2,1,,,,2,,,,,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000083,1,1,1,2,2,2,2,2,,1,2,1,1,2,1,2,2,2,,,,,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000084,2,2,2,2,2,2,2,2,,1,2,2,2,1,,,,2,,,,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000085,2,2,2,2,2,2,2,2,,,,,,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000086,1,1,1,2,2,2,2,2,,1,1,2,2,1,,,,2,,,,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
