variable_name,display_name,source_section,source_record,source_file,cbms_item,metadata_data_type,metadata_length,metadata_decimal,metadata_scale,practical_type,needs_translation,needs_member_resolution,display_handling,review_status,notes
K03_Q_FOR_RECEIVING_PENSION,For receiving pension,K,SECTION_K,synthetic_household_final(4).csv,K03,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
K03_T_FOR_BUSINESS_OPERATIONS,For business operations,K,SECTION_K,synthetic_household_final(4).csv,K03,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
K04_PRESENCE_OF_SAVINGS,Presence of savings,K,SECTION_K,synthetic_household_final(4).csv,K04,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
K06_A_EARN_JUST_ENOUGH,Earn just enough / No extra money,K,SECTION_K,synthetic_household_final(4).csv,K06,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
K06_B_NO_STABLE_SOURCE_OF_INCOME,Unemployment / no stable source of income,K,SECTION_K,synthetic_household_final(4).csv,K06,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
K06_C_USED_FOR_EMERGENCY,"Used for emergency, house repair, events, purchases, and business / entrepreneurial activities",K,SECTION_K,synthetic_household_final(4).csv,K06,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
K07_LOANS,Presence of outstanding loan/s,K,SECTION_K,synthetic_household_final(4).csv,K07,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
K09_A_LOAN_FOR_BUSINESS,Business / entrepreneurial activities,K,SECTION_K,synthetic_household_final(4).csv,K09,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
K09_D_LOAN_FOR_MEDICAL_NEEDS,Medical needs,K,SECTION_K,synthetic_household_final(4).csv,K09,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
K09_E_LOAN_FOR_DAILY_NEEDS,Daily needs,K,SECTION_K,synthetic_household_final(4).csv,K09,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
K09_H_LOAN_FOR_PAYMENT_FOR_ANOTHER_LOAN,Payment for another loan,K,SECTION_K,synthetic_household_final(4).csv,K09,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
K10_C_HEALTH_INSURANCE,Health insurance,K,SECTION_K,synthetic_household_final(4).csv,K10,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
K10_G_MICROINSURANCE,Microinsurance,K,SECTION_K,synthetic_household_final(4).csv,K10,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
K10_H_CROP_INSURANCE,Crop insurance,K,SECTION_K,synthetic_household_final(4).csv,K10,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
K10_I_LIVESTOCK_AND_POULTRY_INSURANCE,Livestock and poultry insurance,K,SECTION_K,synthetic_household_final(4).csv,K10,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
K10_J_FISHERIES_INSURANCE,Fisheries insurance,K,SECTION_K,synthetic_household_final(4).csv,K10,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
L06_WITH_MEMBER_CURRENTLY_PREGNANT,With Currently Pregnant Household Members,L,SECTION_L,synthetic_household_final(4).csv,L06,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
L08_WITH_MEMBER_CURRENTLY_BREASTFEEDING,With currently lactating/breastfeeding mothers,L,SECTION_L,synthetic_household_final(4).csv,L08,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
L10_WITH_CHILD_DIED,With former household member/s 0-5 years old who died,L,SECTION_L,synthetic_household_final(4).csv,L10,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
L15_WITH_PWD_MEMBER,With member who is a Person with Disability,L,SECTION_L,synthetic_household_final(4).csv,L15,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
L19_WITH_CANCER_PATIENT_MEMBER,Presence of cancer patients,L,SECTION_L,synthetic_household_final(4).csv,L19,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
L23_WITH_RARE_DISEASE_MEMBER,Presence of persons with rare disease,L,SECTION_L,synthetic_household_final(4).csv,L23,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
L29_WITH_MEMBER_WHO_HAS_PWD_ID,PWD ID,L,SECTION_L,synthetic_household_final(4).csv,L29,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
L33_MEMBER_WHO_HAS_BEEN_SICK,Presence of Illness / Sickness / Injury in the Past Month,L,SECTION_L,synthetic_household_final(4).csv,L33,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
O01_SAFE_WALKING_ALONE,Feel Safe Walking Alone in the Area,O,SECTION_O,synthetic_household_final(4).csv,O01,Numeric,1,0,Nominal,coded_category,Yes,No,codebook_lookup,classified,Translate using this variable's official CBMS choices; preserve code formatting/leading zeros.
O02_VICTIM_OF_CRIME,Victims of Crime,O,SECTION_O,synthetic_household_final(4).csv,O02,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
SECTION_O_LINE_NUMBER,Section O Line Number,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O,Numeric,2,0,Nominal,identifier,No,No,internal_identifier,needs_review,"Needs ETL review. Metadata identifies this as the Section O line number, but it should not be used as a household-member join key until its role is verified against the flattened synthetic household file."
O03_A_THEFT_VICTIM,Victim of Theft of Personal Property,O,SECTION_O,synthetic_household_final(4).csv,O03,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
O03_B_ROBBERY_VICTIM,Victim of Robbery,O,SECTION_O,synthetic_household_final(4).csv,O03,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
O03_C_ASSAULT_VICTIM,Victim of Assault and Threat,O,SECTION_O,synthetic_household_final(4).csv,O03,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
O03_D_PSYCHO_VIOLENCE_VICTIM,Victim of Psychological Violence,O,SECTION_O,synthetic_household_final(4).csv,O03,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
O03_E_SEX_VIOLENCE_VICTIM,Victim of Sexual Offense,O,SECTION_O,synthetic_household_final(4).csv,O03,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
O03_F_FRAUD_VICTIM,Victim of Fraud,O,SECTION_O,synthetic_household_final(4).csv,O03,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
O03_G_BRIBERY_VICTIM,Victim of Corruption / Bribery / Extortion,O,SECTION_O,synthetic_household_final(4).csv,O03,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
O03_I_VEHICLE_THEFT_VICTIM,Victim of Vehicle Theft,O,SECTION_O,synthetic_household_final(4).csv,O03,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
O03_J_BURGLARY_VICTIM,Victim of Housebreaking,O,SECTION_O,synthetic_household_final(4).csv,O03,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
O03_K_VANDALISM_VICTIM,Victim of Vandalism,O,SECTION_O,synthetic_household_final(4).csv,O03,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
O03_Z_OTHER_CRIME_VICTIM,Victim of (Other Crime),O,SECTION_O,synthetic_household_final(4).csv,O03,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
O04_A_THEFT_VICTIM,Household Member Victimized by Theft of Personal Property,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O04,Numeric,2,0,Nominal,member_reference,No,Yes,member_lookup,classified,Value is a household member LINE_NUMBER. Resolve it to the generated MEMBER_ID after HOUSEHOLD_ID/MEMBER_ID are created during ETL.
O04_B_ROBBERY_VICTIM,Household Member Victimized by Robbery,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O04,Numeric,2,0,Nominal,member_reference,No,Yes,member_lookup,classified,Value is a household member LINE_NUMBER. Resolve it to the generated MEMBER_ID after HOUSEHOLD_ID/MEMBER_ID are created during ETL.
O04_C_ASSAULT_VICTIM,Household Member Victimized by Assault and Threat,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O04,Numeric,2,0,Nominal,member_reference,No,Yes,member_lookup,classified,Value is a household member LINE_NUMBER. Resolve it to the generated MEMBER_ID after HOUSEHOLD_ID/MEMBER_ID are created during ETL.
O04_D_PSYCHO_VIOLENCE_VICTIM,Household Member Victimized by Psychological Violence,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O04,Numeric,2,0,Nominal,member_reference,No,Yes,member_lookup,classified,Value is a household member LINE_NUMBER. Resolve it to the generated MEMBER_ID after HOUSEHOLD_ID/MEMBER_ID are created during ETL.
O04_E_SEX_VIOLENCE_VICTIM,Household Member Victimized by Sexual Offense,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O04,Numeric,2,0,Nominal,member_reference,No,Yes,member_lookup,classified,Value is a household member LINE_NUMBER. Resolve it to the generated MEMBER_ID after HOUSEHOLD_ID/MEMBER_ID are created during ETL.
O04_F_FRAUD_VICTIM,Household Member Victimized by Fraud,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O04,Numeric,2,0,Nominal,member_reference,No,Yes,member_lookup,classified,Value is a household member LINE_NUMBER. Resolve it to the generated MEMBER_ID after HOUSEHOLD_ID/MEMBER_ID are created during ETL.
O04_G_BRIBERY_VICTIM,Household Member Victimized by Corruption / Bribery / Extortion,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O04,Numeric,2,0,Nominal,member_reference,No,Yes,member_lookup,classified,Value is a household member LINE_NUMBER. Resolve it to the generated MEMBER_ID after HOUSEHOLD_ID/MEMBER_ID are created during ETL.
O04_I_VEHICLE_THEFT_VICTIM,Household Member Victimized by Vehicle Theft,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O04,Numeric,2,0,Nominal,member_reference,No,Yes,member_lookup,classified,Value is a household member LINE_NUMBER. Resolve it to the generated MEMBER_ID after HOUSEHOLD_ID/MEMBER_ID are created during ETL.
O04_J_BURGLARY_VICTIM,Household Member Victimized by Housebreaking,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O04,Numeric,2,0,Nominal,member_reference,No,Yes,member_lookup,classified,Value is a household member LINE_NUMBER. Resolve it to the generated MEMBER_ID after HOUSEHOLD_ID/MEMBER_ID are created during ETL.
O04_K_VANDALISM_VICTIM,Household Member Victimized by Vandalism,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O04,Numeric,2,0,Nominal,member_reference,No,Yes,member_lookup,classified,Value is a household member LINE_NUMBER. Resolve it to the generated MEMBER_ID after HOUSEHOLD_ID/MEMBER_ID are created during ETL.
O04_Z_OTHER_CRIME_VICTIM,Household Member Victimized by Other Crime,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O04,Numeric,2,0,Nominal,member_reference,No,Yes,member_lookup,classified,Value is a household member LINE_NUMBER. Resolve it to the generated MEMBER_ID after HOUSEHOLD_ID/MEMBER_ID are created during ETL.
O05_A_THEFT_VICTIM_FREQUENCY,Number of Times Victimized by Theft of Personal Property,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O05,Numeric,2,0,Ratio,number,No,No,direct,classified,
O05_B_ROBBERY_VICTIM_FREQUENCY,Number of Times Victimized by Robbery,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O05,Numeric,2,0,Ratio,number,No,No,direct,classified,
O05_C_ASSAULT_VICTIM_FREQUENCY,Number of Times Victimized by Assault and Threat,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O05,Numeric,2,0,Ratio,number,No,No,direct,classified,
O05_D_PSYCHO_VIOLENCE_VICTIM_FREQUENCY,Number of Times Victimized by Psychological Violence,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O05,Numeric,2,0,Ratio,number,No,No,direct,classified,
O05_E_SEX_VIOLENCE_VICTIM_FREQUENCY,Number of Times Victimized by Sexual Offense,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O05,Numeric,2,0,Ratio,number,No,No,direct,classified,
O05_F_FRAUD_VICTIM_FREQUENCY,Number of Times Victimized by Fraud,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O05,Numeric,2,0,Ratio,number,No,No,direct,classified,
O05_G_BRIBERY_VICTIM_FREQUENCY,Number of Times Victimized by Corruption / Bribery / Extortion,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O05,Numeric,2,0,Ratio,number,No,No,direct,classified,
O05_I_VEHICLE_THEFT_VICTIM_FREQUENCY,Number of Times Victimized by Vehicle Theft,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O05,Numeric,2,0,Ratio,number,No,No,direct,classified,
O05_J_BURGLARY_VICTIM_FREQUENCY,Number of Times Victimized by Housebreaking,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O05,Numeric,2,0,Ratio,number,No,No,direct,classified,
O05_K_VANDALISM_VICTIM_FREQUENCY,Number of Times Victimized by Vandalism,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O05,Numeric,2,0,Ratio,number,No,No,direct,classified,
O05_Z_OTHER_CRIME_VICTIM_FREQUENCY,Number of Times Victimized by Other Crime,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O05,Numeric,2,0,Ratio,number,No,No,direct,classified,
O06_A_THEFT_LOCATION_OF_CRIME,Location of Theft of Personal Property,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O06,Numeric,1,0,Nominal,coded_category,Yes,No,codebook_lookup,classified,Translate using this variable's official CBMS choices; preserve code formatting/leading zeros.
O06_B_ROBBERY_LOCATION_OF_CRIME,Location of Robbery,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O06,Numeric,1,0,Nominal,coded_category,Yes,No,codebook_lookup,classified,Translate using this variable's official CBMS choices; preserve code formatting/leading zeros.
O06_C_ASSAULT_LOCATION_OF_CRIME,Location of Assault and Threat,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O06,Numeric,1,0,Nominal,coded_category,Yes,No,codebook_lookup,classified,Translate using this variable's official CBMS choices; preserve code formatting/leading zeros.
O06_D_PSYCHO_VIOLENCE_LOCATION_OF_CRIME,Location of Psychological Violence,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O06,Numeric,1,0,Nominal,coded_category,Yes,No,codebook_lookup,classified,Translate using this variable's official CBMS choices; preserve code formatting/leading zeros.
O06_E_SEX_VIOLENCE_LOCATION_OF_CRIME,Location of Sexual Offense,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O06,Numeric,1,0,Nominal,coded_category,Yes,No,codebook_lookup,classified,Translate using this variable's official CBMS choices; preserve code formatting/leading zeros.
O06_F_FRAUD_LOCATION_OF_CRIME,Location of Fraud,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O06,Numeric,1,0,Nominal,coded_category,Yes,No,codebook_lookup,classified,Translate using this variable's official CBMS choices; preserve code formatting/leading zeros.
O06_G_BRIBERY_LOCATION_OF_CRIME,Location of Corruption / Bribery / Extortion,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O06,Numeric,1,0,Nominal,coded_category,Yes,No,codebook_lookup,classified,Translate using this variable's official CBMS choices; preserve code formatting/leading zeros.
O06_I_VEHICLE_THEFT_LOCATION_OF_CRIME,Location of Vehicle Theft,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O06,Numeric,1,0,Nominal,coded_category,Yes,No,codebook_lookup,classified,Translate using this variable's official CBMS choices; preserve code formatting/leading zeros.
O06_J_BURGLARY_LOCATION_OF_CRIME,Location of Housebreaking,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O06,Numeric,1,0,Nominal,coded_category,Yes,No,codebook_lookup,classified,Translate using this variable's official CBMS choices; preserve code formatting/leading zeros.
O06_K_VANDALISM_LOCATION_OF_CRIME,Location of Vandalism,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O06,Numeric,1,0,Nominal,coded_category,Yes,No,codebook_lookup,classified,Translate using this variable's official CBMS choices; preserve code formatting/leading zeros.
O06_Z_OTHER_CRIME_LOCATION_OF_CRIME,Location of Other Crime,O,SECTION_O04_TO_O08,synthetic_household_final(4).csv,O06,Numeric,1,0,Nominal,coded_category,Yes,No,codebook_lookup,classified,Translate using this variable's official CBMS choices; preserve code formatting/leading zeros.
LINE_NUMBER,Line Number,A-E,SECTION_A_TO_E,synthetic_section_a_e_indiv_final_corrected(4).csv,,Numeric,2,0,Nominal,identifier,No,No,internal_identifier,classified,Preserve as a 2-digit string when it is used as a member/record reference.
A01_LAST_NAME,Last Name,A,SECTION_A_TO_E,synthetic_section_a_e_indiv_final_corrected(4).csv,A01,Alpha,30,,Nominal,text,No,No,direct,classified,
A01_FIRST_NAME,First Name,A,SECTION_A_TO_E,synthetic_section_a_e_indiv_final_corrected(4).csv,A01,Alpha,30,,Nominal,text,No,No,direct,classified,
A01_SUFFIX,Suffix,A,SECTION_A_TO_E,synthetic_section_a_e_indiv_final_corrected(4).csv,A01,Alpha,9,,Nominal,text,No,No,direct,classified,
A01_MIDDLE_NAME,Middle Name,A,SECTION_A_TO_E,synthetic_section_a_e_indiv_final_corrected(4).csv,A01,Alpha,30,,Nominal,text,No,No,direct,classified,
A02_RELATION_TO_HH_HEAD,Relationship to the household head,A,SECTION_A_TO_E,synthetic_section_a_e_indiv_final_corrected(4).csv,A02,Numeric,2,0,Nominal,coded_category,Yes,No,codebook_lookup,classified,Translate using this variable's official CBMS choices; preserve code formatting/leading zeros.
A05_SEX,Sex,A,SECTION_A_TO_E,synthetic_section_a_e_indiv_final_corrected(4).csv,A05,Numeric,1,0,Nominal,coded_category,Yes,No,codebook_lookup,classified,Translate using this variable's official CBMS choices; preserve code formatting/leading zeros.
A07_AGE,Age,A,SECTION_A_TO_E,synthetic_section_a_e_indiv_final_corrected(4).csv,A07,Numeric,3,0,Ratio,number,No,No,direct,classified,
A09_MARITAL_STATUS,Marital status,A,SECTION_A_TO_E,synthetic_section_a_e_indiv_final_corrected(4).csv,A09,Numeric,1,0,Nominal,coded_category,Yes,No,codebook_lookup,classified,Translate using this variable's official CBMS choices; preserve code formatting/leading zeros.
A17_SOLO_PARENT,Solo Parent,A,SECTION_A_TO_E,synthetic_section_a_e_indiv_final_corrected(4).csv,A17,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
A18_SOLO_PARENT_ID,Solo Parent ID,A,SECTION_A_TO_E,synthetic_section_a_e_indiv_final_corrected(4).csv,A18,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
A19_SENIOR_CITIZEN_ID,Senior Citizen ID,A,SECTION_A_TO_E,synthetic_section_a_e_indiv_final_corrected(4).csv,A19,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
A20_A_SEEING,"Seeing, even if wearing glasses",A,SECTION_A_TO_E,synthetic_section_a_e_indiv_final_corrected(4).csv,A20,Numeric,1,0,Nominal,coded_category,Yes,No,codebook_lookup,classified,Translate using this variable's official CBMS choices; preserve code formatting/leading zeros.
A20_B_HEARING,"Hearing, even if using hearing aid",A,SECTION_A_TO_E,synthetic_section_a_e_indiv_final_corrected(4).csv,A20,Numeric,1,0,Nominal,coded_category,Yes,No,codebook_lookup,classified,Translate using this variable's official CBMS choices; preserve code formatting/leading zeros.
A20_C_WALKING,"Walking or climbing steps, even if with cane or artificial leg",A,SECTION_A_TO_E,synthetic_section_a_e_indiv_final_corrected(4).csv,A20,Numeric,1,0,Nominal,coded_category,Yes,No,codebook_lookup,classified,Translate using this variable's official CBMS choices; preserve code formatting/leading zeros.
A20_D_REMEMBERING,Remembering or concentrating,A,SECTION_A_TO_E,synthetic_section_a_e_indiv_final_corrected(4).csv,A20,Numeric,1,0,Nominal,coded_category,Yes,No,codebook_lookup,classified,Translate using this variable's official CBMS choices; preserve code formatting/leading zeros.
